simulation_index,age_grp,ihr
5,3,3.7413676749052996e-4
6,3,4.70034477992091e-4
7,3,4.5439917827230786e-4
8,3,3.651050396384165e-4
9,3,3.5393910791863274e-4
10,3,5.464689713708043e-4
11,3,3.5980775092104677e-4
12,3,3.591301745158833e-4
13,3,3.655150867298967e-4
14,3,4.433154345195261e-4
15,3,4.545225048444096e-4
16,3,4.295531626664444e-4
17,3,4.0730117820891295e-4
18,3,3.85203106934461e-4
19,3,4.7901898119004414e-4
20,3,4.522370059216071e-4
21,3,3.7368129078088716e-4
22,3,4.561199680483135e-4
23,3,3.542916482965092e-4
24,3,4.926941878576691e-4
25,3,4.3324648760722286e-4
26,3,4.409776990172675e-4
27,3,4.006506873651007e-4
28,3,4.0596475606614354e-4
29,3,4.736194795933897e-4
30,3,4.886524186907865e-4
31,3,4.15203487898052e-4
32,3,4.58133213545248e-4
33,3,4.212143290754964e-4
34,3,4.022318883156567e-4
35,3,3.1725857299355923e-4
36,3,3.623901177175269e-4
37,3,5.317954247564405e-4
38,3,4.225317618396049e-4
39,3,4.4946630106877655e-4
40,3,3.0847270146810627e-4
41,3,6.437503297442484e-4
42,3,4.0436628235149567e-4
43,3,4.551452210593233e-4
44,3,4.343289900146005e-4
45,3,4.983430012640259e-4
46,3,3.611858372418537e-4
47,3,4.4591555895792396e-4
48,3,5.370707600523613e-4
49,3,3.7264408432090116e-4
50,3,4.982605049045733e-4
51,3,3.718556014296518e-4
52,3,3.7106541347876854e-4
53,3,4.0938557436251985e-4
54,3,4.3577819332534933e-4
55,3,3.758507734301472e-4
56,3,4.3821059447020653e-4
57,3,3.614316425415453e-4
58,3,4.185537205845762e-4
59,3,5.738088543090345e-4
60,3,3.422811828798622e-4
61,3,4.952837739146984e-4
62,3,4.974696633966207e-4
63,3,4.736791556594654e-4
64,3,4.5781420821307505e-4
65,3,4.4629561377150745e-4
66,3,3.9778952165757587e-4
67,3,4.559317335106447e-4
68,3,4.965501602337502e-4
69,3,3.9487436717118097e-4
70,3,4.052637037309311e-4
71,3,4.061236821628128e-4
72,3,3.6814101962077045e-4
73,3,4.305849734408115e-4
74,3,4.5522813004067345e-4
75,3,4.163344057020382e-4
76,3,3.4023901817183653e-4
77,3,4.302857371013825e-4
78,3,4.012748527910284e-4
79,3,4.2834924657777877e-4
80,3,4.400842741109371e-4
81,3,4.820234709756493e-4
82,3,4.390794828815826e-4
83,3,3.049313453726844e-4
84,3,4.2874313694559287e-4
85,3,5.213038613118774e-4
86,3,4.289548958238135e-4
87,3,4.5755297178846037e-4
88,3,2.7778749198605984e-4
89,3,3.8645937595204035e-4
90,3,5.535343931354608e-4
91,3,4.2872645351114925e-4
92,3,4.985206928706705e-4
93,3,4.5182956669361705e-4
94,3,5.372866860065412e-4
95,3,3.8146446012132627e-4
96,3,4.8362199786225376e-4
97,3,4.776393360514915e-4
98,3,3.4509485758810903e-4
99,3,4.24164289679724e-4
100,3,3.574631357893713e-4
1,4,0.008210745351232774
2,4,0.006312105806956327
3,4,0.007497919420099199
4,4,0.00613045365111397
5,4,0.0044218009931817365
6,4,0.00675272808846975
7,4,0.006313269322465896
8,4,0.004287673281279175
9,4,0.00410008880755924
10,4,0.00872887675676092
11,4,0.004175490851014281
12,4,0.004150678403481307
13,4,0.004331156887114431
14,4,0.005963869858982071
15,4,0.006185966755243161
16,4,0.005694401530549579
17,4,0.005171475301455655
18,4,0.004644982034818306
19,4,0.006925426464854893
20,4,0.006246649313437188
21,4,0.004472625661460333
22,4,0.0063510256616428
23,4,0.004054574033163519
24,4,0.007283617274535718
25,4,0.005815779613411394
26,4,0.005979099132252455
27,4,0.0051170012431114515
28,4,0.005173848267755762
29,4,0.006747649131528442
30,4,0.007115250004297653
31,4,0.005303750315979074
32,4,0.006370598320676386
33,4,0.005484446957521191
34,4,0.0050924925427276715
35,4,0.0033642999001457837
36,4,0.004255913730910615
37,4,0.00842741171401946
38,4,0.005552774476665723
39,4,0.00609075149216337
40,4,0.003211279286355178
41,4,0.011977800498869418
42,4,0.005151413356450402
43,4,0.006314305142668903
44,4,0.005767844048004611
45,4,0.0073076992592337455
46,4,0.0042109053884899295
47,4,0.006082120616685724
48,4,0.00850101681541777
49,4,0.004505268733871255
50,4,0.007414045316350823
