"","iso3c","age_grp","cluster_name","yll"
"330","PRY",4,"Southern America",6.45928918631327
"331","SLV",4,"Southern America",6.56361272412978
"332","SUR",4,"Southern America",6.81664087953276
"333","TTO",4,"Southern America",7.40653564907689
"334","URY",4,"Southern America",7.71876947210763
"335","VCT",4,"Southern America",6.25211508572276
"336","VEN",4,"Southern America",6.04425261309212
"337","BGD",1,"Eastern and Southern Asia",29.5229874153426
"338","BRN",1,"Eastern and Southern Asia",29.8914683370537
"339","BTN",1,"Eastern and Southern Asia",29.3716639590253
"340","CHN",1,"Eastern and Southern Asia",30.4414423054568
"341","HKG",1,"Eastern and Southern Asia",31.1587685515443
"342","IDN",1,"Eastern and Southern Asia",28.8434472585202
"343","IND",1,"Eastern and Southern Asia",28.5921519422786
"344","KHM",1,"Eastern and Southern Asia",28.8401008681465
"345","KOR",1,"Eastern and Southern Asia",31.1504052746512
"346","LAO",1,"Eastern and Southern Asia",28.670044299975
"347","LKA",1,"Eastern and Southern Asia",30.2190259955568
"348","MAC",1,"Eastern and Southern Asia",31.2691427409517
"349","MDV",1,"Eastern and Southern Asia",30.7850601619756
"350","MMR",1,"Eastern and Southern Asia",28.2898644156039
"351","MNG",1,"Eastern and Southern Asia",29.6341498908588
"352","MYS",1,"Eastern and Southern Asia",30.1997125987235
"353","NPL",1,"Eastern and Southern Asia",29.0801995718682
"354","PHL",1,"Eastern and Southern Asia",29.3414996936166
"355","PNG",1,"Eastern and Southern Asia",28.0918074390243
"356","PRK",1,"Eastern and Southern Asia",29.465929303452
"357","RUS",1,"Eastern and Southern Asia",29.2925242806451
"358","SGP",1,"Eastern and Southern Asia",31.1637281417088
"359","THA",1,"Eastern and Southern Asia",30.3354978386971
"360","TLS",1,"Eastern and Southern Asia",28.6755891066946
"361","VNM",1,"Eastern and Southern Asia",29.5583226583675
"362","JPN",1,"Eastern and Southern Asia",31.184023585965
"363","TWN",1,"Eastern and Southern Asia",30.7641188354373
"364","AGO",1,"Africa",27.1074062465026
"365","BDI",1,"Africa",27.0227330246094
"366","BEN",1,"Africa",26.4316587432649
"367","BFA",1,"Africa",26.6340593287256
"368","BWA",1,"Africa",28.019145266065
"369","CAF",1,"Africa",25.3387432898459
"370","CIV",1,"Africa",26.4237603941164
"371","CMR",1,"Africa",26.9868960178743
"372","COD",1,"Africa",26.4648088287589
"373","COG",1,"Africa",27.5109239296992
"374","COM",1,"Africa",27.5467830802452
"375","CPV",1,"Africa",29.8523849627234
"376","ETH",1,"Africa",27.8948006688228
"377","GAB",1,"Africa",28.1318103526236
"378","GHA",1,"Africa",27.4824809490642
"379","GIN",1,"Africa",26.1324811225026
"380","GMB",1,"Africa",27.3738171997473
"381","GNB",1,"Africa",26.7203611874001
"382","GNQ",1,"Africa",26.9608836683044
"383","KEN",1,"Africa",27.4121537279787
"384","LBR",1,"Africa",26.8732416156738
"385","LSO",1,"Africa",25.0960831351296
"386","MDG",1,"Africa",27.8069125866905
"387","MLI",1,"Africa",26.5120282177148
"388","MOZ",1,"Africa",26.7004066053063
"389","MRT",1,"Africa",27.8062344610256
"390","MUS",1,"Africa",29.7052194105622
"391","MWI",1,"Africa",27.626277195615
"392","NAM",1,"Africa",26.732320462629
"393","NER",1,"Africa",27.2505460844792
"394","NGA",1,"Africa",24.624025491712
"395","SDN",1,"Africa",27.8013860623921
"396","SEN",1,"Africa",28.6374851564705
"397","SLE",1,"Africa",26.57501996508
"398","SSD",1,"Africa",25.3004206368211
"399","STP",1,"Africa",28.8635049714578
"400","SWZ",1,"Africa",26.2403943731375
"401","TCD",1,"Africa",24.6591766971596
"402","TGO",1,"Africa",26.922194061495
"403","TZA",1,"Africa",28.2780284730728
"404","UGA",1,"Africa",27.7661896983215
"405","ZAF",1,"Africa",27.3969799756538
"406","ZMB",1,"Africa",27.3134770718222
"407","ZWE",1,"Africa",26.7852537478235
"408","SOM",1,"Africa",25.5726444199328
"409","AFG",1,"Asia-Europe",27.3959992954172
"410","ARE",1,"Asia-Europe",30.6250166569279
"411","ARM",1,"Asia-Europe",29.8605281251068
"412","AZE",1,"Asia-Europe",29.6102779536793
"413","BHR",1,"Asia-Europe",30.6454946308424
"414","CYP",1,"Asia-Europe",30.9670464198314
"415","DJI",1,"Asia-Europe",27.2492124155234
"416","EGY",1,"Asia-Europe",29.3299858965604
"417","ERI",1,"Asia-Europe",28.102697525481
"418","GEO",1,"Asia-Europe",29.5944493569856
"419","IRN",1,"Asia-Europe",29.8387702334563
"420","IRQ",1,"Asia-Europe",29.3238238936934
"421","ISR",1,"Asia-Europe",30.9906685776882
"422","JOR",1,"Asia-Europe",29.8700845944245
"423","KAZ",1,"Asia-Europe",29.2850195047465
"424","KGZ",1,"Asia-Europe",29.3373346816693
"425","KWT",1,"Asia-Europe",30.7338508341496
"426","LBN",1,"Asia-Europe",30.0182334365002
"427","OMN",1,"Asia-Europe",29.9344651265387
"428","PAK",1,"Asia-Europe",27.9630216596086
"429","PSE",1,"Asia-Europe",29.7213423972019
"430","QAT",1,"Asia-Europe",30.902461623392
"431","RWA",1,"Asia-Europe",28.3482136524547
"432","SAU",1,"Asia-Europe",30.3914837061552
"433","SYR",1,"Asia-Europe",29.3476559306766
"434","TJK",1,"Asia-Europe",29.2427971100974
"435","TKM",1,"Asia-Europe",28.7726206275754
"436","TUR",1,"Asia-Europe",30.4739791346725
"437","UZB",1,"Asia-Europe",29.509696053017
"438","YEM",1,"Asia-Europe",27.5099292500331
"439","BGD",2,"Eastern and Southern Asia",28.5470106742097
"440","BRN",2,"Eastern and Southern Asia",28.4730853068534
"441","BTN",2,"Eastern and Southern Asia",28.3860297607294
"442","CHN",2,"Eastern and Southern Asia",29.2024892929231
"443","HKG",2,"Eastern and Southern Asia",30.1622903452684
"444","IDN",2,"Eastern and Southern Asia",27.4094136884415
"445","IND",2,"Eastern and Southern Asia",27.5266152820032
"446","KHM",2,"Eastern and Southern Asia",27.8114593433626
"447","KOR",2,"Eastern and Southern Asia",30.0604038825227
"448","LAO",2,"Eastern and Southern Asia",27.9151702124467
"449","LKA",2,"Eastern and Southern Asia",28.7399506860189
"450","MAC",2,"Eastern and Southern Asia",30.2074098758573
"451","MDV",2,"Eastern and Southern Asia",29.5173276308021
